Período,Região ID,Valor
2010-01-15T00:00:00.000Z,21,22.88
2003-01-15T00:00:00.000Z,12,22.9
2021-01-15T00:00:00.000Z,52,23.06
2007-01-15T00:00:00.000Z,25,23.09
2024-01-15T00:00:00.000Z,24,23.13
2014-01-15T00:00:00.000Z,31,23.19
2007-01-15T00:00:00.000Z,23,23.2
2008-01-15T00:00:00.000Z,14,23.27
2010-01-15T00:00:00.000Z,17,23.27
2017-01-15T00:00:00.000Z,50,23.27
2013-01-15T00:00:00.000Z,31,23.31
2004-01-15T00:00:00.000Z,28,23.46
2021-01-15T00:00:00.000Z,33,23.54
2024-01-15T00:00:00.000Z,14,23.58
2017-01-15T00:00:00.000Z,41,23.6
2019-01-15T00:00:00.000Z,25,23.6
2021-01-15T00:00:00.000Z,12,23.61
2022-01-15T00:00:00.000Z,22,23.62
2015-01-15T00:00:00.000Z,50,23.63
2006-01-15T00:00:00.000Z,29,23.72
2021-01-15T00:00:00.000Z,51,23.75
2011-01-15T00:00:00.000Z,21,23.86
2018-01-15T00:00:00.000Z,43,23.88
2008-01-15T00:00:00.000Z,23,24.03
2002-01-15T00:00:00.000Z,12,24.22
2013-01-15T00:00:00.000Z,17,24.22
2013-01-15T00:00:00.000Z,50,24.29
2008-01-15T00:00:00.000Z,13,24.31
2016-01-15T00:00:00.000Z,50,24.32
2019-01-15T00:00:00.000Z,21,24.52
2003-01-15T00:00:00.000Z,28,24.57
2014-01-15T00:00:00.000Z,43,24.58
2003-01-15T00:00:00.000Z,52,24.6
2020-01-15T00:00:00.000Z,33,24.6
2023-01-15T00:00:00.000Z,12,24.64
2005-01-15T00:00:00.000Z,28,24.83
2019-01-15T00:00:00.000Z,51,25.06
2009-01-15T00:00:00.000Z,24,25.2
2000-01-15T00:00:00.000Z,27,25.22
2003-01-15T00:00:00.000Z,41,25.25
2010-01-15T00:00:00.000Z,24,25.29
2024-01-15T00:00:00.000Z,32,25.43
2011-01-15T00:00:00.000Z,17,25.45
2024-01-15T00:00:00.000Z,25,25.45
2002-01-15T00:00:00.000Z,52,25.5
2009-01-15T00:00:00.000Z,14,25.51
2009-01-15T00:00:00.000Z,23,25.54
2010-01-15T00:00:00.000Z,14,25.75
2015-01-15T00:00:00.000Z,41,25.77
2024-01-15T00:00:00.000Z,15,25.77
2005-01-15T00:00:00.000Z,52,25.78
2007-01-15T00:00:00.000Z,52,25.79
2007-01-15T00:00:00.000Z,28,25.91
2010-01-15T00:00:00.000Z,50,25.94
2007-01-15T00:00:00.000Z,29,26.01
2006-01-15T00:00:00.000Z,52,26.03
2014-01-15T00:00:00.000Z,17,26.1
2019-01-15T00:00:00.000Z,11,26.1
2023-01-15T00:00:00.000Z,17,26.1
2023-01-15T00:00:00.000Z,25,26.14
2019-01-15T00:00:00.000Z,32,26.15
2015-01-15T00:00:00.000Z,12,26.25
2006-01-15T00:00:00.000Z,14,26.27
2012-01-15T00:00:00.000Z,12,26.27
2009-01-15T00:00:00.000Z,13,26.28
2015-01-15T00:00:00.000Z,43,26.38
2006-01-15T00:00:00.000Z,53,26.4
2012-01-15T00:00:00.000Z,21,26.45
2020-01-15T00:00:00.000Z,11,26.47
